name,_id,run_start_time,run_end_time,status,status_message,add_diesel_generator_one_distribution_center.batt_storage_capacity,add_diesel_generator_one_distribution_center.generator,add_diesel_generator_one_distribution_center.pv_power,create_doe_prototype_building.building_type,create_doe_prototype_building.climate_zone,batt_discharge_power,batt_initial_charge,batt_max_soc,batt_min_soc,epw_file,meter_name,reporting_frequency,template
DOE Autogenerated 1437,06cfe3fd-d391-4d55-a3d6-bfb307742988,2022-07-15T22:52:45.711Z,2022-07-15T22:55:27.726Z,completed,completed normal,70.0,42kW Diesel,15.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 2468,067826e1-bdd6-4b9e-877c-f15d13ec7b3b,2022-07-15T23:55:58.634Z,2022-07-15T23:58:35.639Z,completed,completed normal,300.0,42kW Diesel,50.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 883,4e1c4ff1-92cd-4d67-8abd-73ef6ef67276,2022-07-15T22:18:31.902Z,2022-07-15T22:21:09.264Z,completed,completed normal,30.0,55kW Diesel,20.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 663,bff61882-96d6-4abe-a69f-96b8dd9febf2,2022-07-15T22:04:38.203Z,2022-07-15T22:07:11.223Z,completed,completed normal,300.0,55kW Diesel,0.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 527,ffb7200f-f49a-415f-96a7-697b92d8a65b,2022-07-15T21:57:14.526Z,2022-07-15T21:59:24.784Z,completed,completed normal,150.0,42kW Diesel,45.0,SmallOffice,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 804,a782621a-9126-4b14-b673-a50cbc1143db,2022-07-15T22:13:49.206Z,2022-07-15T22:16:16.098Z,completed,completed normal,17.5,42kW Diesel,15.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 2307,850bedf2-61b1-41d8-ab16-fb6ccdfb8c47,2022-07-15T23:46:01.095Z,2022-07-15T23:48:40.004Z,completed,completed normal,25.0,55kW Diesel,35.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 160,9e9fe50d-33e1-47e2-96e0-1d203a521fac,2022-07-15T21:37:09.026Z,2022-07-15T21:39:30.392Z,completed,completed normal,25.0,80kW Diesel,10.0,SmallOffice,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1051,a5826e2e-7a13-450d-9287-388510858bfc,2022-07-15T22:29:04.552Z,2022-07-15T22:31:40.300Z,completed,completed normal,17.5,55kW Diesel,35.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 2223,7472965d-acb7-4e8e-bf8c-dc811bcd593c,2022-07-15T23:40:46.845Z,2022-07-15T23:43:19.596Z,completed,completed normal,400.0,80kW Diesel,25.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1679,7241d009-c6f3-411c-ba06-5cadcecfac92,2022-07-15T23:07:16.708Z,2022-07-15T23:09:45.716Z,completed,completed normal,20.0,55kW Diesel,35.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 857,be3dd1ee-a734-4323-af0e-2641818f4c3f,2022-07-15T22:16:57.514Z,2022-07-15T22:19:36.801Z,completed,completed normal,5.0,42kW Diesel,20.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
